Timestamp;Metric;FrameCount;PointsAdded;ChartTime_ms;FrameTime_ms;ChartImpact_Percent;FPS;AllocatedMemory_B
2026-06-08 14:27:36.663;Torque;1441;1;0,0128;8,0287;0,16;124,6;4,00
2026-06-08 14:27:36.682;Velocity;1443;1;0,0279;7,1313;0,39;140,2;0,00
2026-06-08 14:27:36.683;Current;1443;1;0,0161;7,1313;0,23;140,2;0,00
2026-06-08 14:27:36.683;Torque;1443;1;0,0055;7,1313;0,08;140,2;0,00
2026-06-08 14:27:36.706;Velocity;1445;1;0,0279;7,7708;0,36;128,7;0,00
2026-06-08 14:27:36.706;Current;1445;1;0,0160;7,7708;0,21;128,7;0,00
2026-06-08 14:27:36.707;Torque;1445;1;0,0102;7,7708;0,13;128,7;4,00
2026-06-08 14:27:36.734;Velocity;1447;1;0,0274;9,4692;0,29;105,6;0,00
2026-06-08 14:27:36.734;Current;1447;1;0,0250;9,4692;0,26;105,6;0,00
2026-06-08 14:27:36.734;Torque;1447;1;0,0073;9,4692;0,08;105,6;0,00
2026-06-08 14:27:36.762;Velocity;1449;1;0,0274;9,7121;0,28;103,0;0,00
2026-06-08 14:27:36.762;Current;1449;1;0,0172;9,7121;0,18;103,0;0,00
2026-06-08 14:27:36.762;Torque;1449;1;0,0071;9,7121;0,07;103,0;4,00
2026-06-08 14:27:36.789;Velocity;1451;1;0,0352;9,3603;0,38;106,8;4,00
2026-06-08 14:27:36.790;Current;1451;1;0,0153;9,3603;0,16;106,8;0,00
2026-06-08 14:27:36.790;Torque;1451;1;0,0070;9,3603;0,07;106,8;0,00
2026-06-08 14:27:36.818;Velocity;1453;1;0,0321;9,4154;0,34;106,2;4,00
2026-06-08 14:27:36.818;Current;1453;1;0,0160;9,4154;0,17;106,2;0,00
2026-06-08 14:27:36.819;Torque;1453;1;0,0100;9,4154;0,11;106,2;4,00
2026-06-08 14:27:36.845;Velocity;1455;1;0,0325;8,9630;0,36;111,6;4,00
2026-06-08 14:27:36.846;Current;1455;1;0,0150;8,9630;0,17;111,6;0,00
2026-06-08 14:27:36.846;Torque;1455;1;0,0067;8,9630;0,07;111,6;0,00
2026-06-08 14:27:36.873;Velocity;1457;1;0,0329;9,4219;0,35;106,1;4,00
2026-06-08 14:27:36.873;Current;1457;1;0,0149;9,4219;0,16;106,1;0,00
2026-06-08 14:27:36.874;Torque;1457;1;0,0073;9,4219;0,08;106,1;0,00
2026-06-08 14:27:36.901;Velocity;1459;1;0,0276;9,4197;0,29;106,2;0,00
2026-06-08 14:27:36.901;Current;1459;1;0,0178;9,4197;0,19;106,2;8,00
2026-06-08 14:27:36.902;Torque;1459;1;0,0058;9,4197;0,06;106,2;0,00
2026-06-08 14:27:36.928;Velocity;1461;1;0,0463;9,8344;0,47;101,7;0,00
2026-06-08 14:27:36.929;Current;1461;1;0,0245;9,8344;0,25;101,7;4,00
2026-06-08 14:27:36.929;Torque;1461;1;0,0072;9,8344;0,07;101,7;4,00
2026-06-08 14:27:36.956;Velocity;1463;1;0,0274;9,6909;0,28;103,2;0,00
2026-06-08 14:27:36.957;Current;1463;1;0,0231;9,6909;0,24;103,2;4,00
2026-06-08 14:27:36.957;Torque;1463;1;0,0061;9,6909;0,06;103,2;0,00
2026-06-08 14:27:36.984;Velocity;1465;1;0,0269;10,0236;0,27;99,8;0,00
2026-06-08 14:27:36.985;Current;1465;1;0,0143;10,0236;0,14;99,8;0,00
2026-06-08 14:27:36.985;Torque;1465;1;0,0108;10,0236;0,11;99,8;4,00
2026-06-08 14:27:37.012;Velocity;1467;1;0,0273;9,7926;0,28;102,1;0,00
2026-06-08 14:27:37.013;Current;1467;1;0,0171;9,7926;0,17;102,1;0,00
2026-06-08 14:27:37.013;Torque;1467;1;0,0096;9,7926;0,10;102,1;4,00
2026-06-08 14:27:37.041;Velocity;1469;1;0,0334;9,7554;0,34;102,5;4,00
