"Date","Time","Millisecond","Prędkość [m/min]","Prąd - składowa rzeczywista [A]","Obciążenie [%]","Moment obrotowy [kNm]","Siła nacisku - strona prawa [kN]","Siła nacisku - strona lewa [kN]","Nastawa pionowa walca - strona prawa  [mm]","Nastawa pionowa walca - strona lewa [mm]","Temperatura wlewka przed walcarką [C]","Temperatura wlewka za walcarką [C]"
"2025/05/26","13:57:17",338,"-12.582","-59.798","-28.428","-23.845","261.372","188.498","21.394","21.513","920.9","627.0"
"2025/05/26","13:57:17",390,"-12.582","-41.962","-20.099","-16.810","261.089","187.565","21.386","21.501","920.9","627.0"
"2025/05/26","13:57:17",489,"-12.582","-26.510","-12.792","-10.664","261.089","187.565","21.365","21.473","920.9","394.5"
"2025/05/26","13:57:17",605,"-12.582","-24.230","-11.644","-9.246","238.780","187.565","21.366","21.470","904.0","394.5"
"2025/05/26","13:57:17",723,"-12.582","-23.003","-10.995","-7.787","238.780","135.243","21.366","21.471","904.0","394.5"
"2025/05/26","13:57:17",805,"-12.582","-22.486","-10.768","-7.451","238.780","135.243","21.367","21.472","837.7","305.8"
"2025/05/26","13:57:17",923,"-12.582","-23.418","-11.100","-9.635","145.378","65.017","21.367","21.472","837.7","305.8"
"2025/05/26","13:57:18",5,"-12.582","-23.984","-11.485","-10.139","145.378","65.017","21.368","21.472","837.7","300.0"
"2025/05/26","13:57:18",105,"-12.582","-23.180","-10.881","-7.994","143.620","65.017","21.367","21.471","911.5","300.0"
"2025/05/26","13:57:18",204,"-12.582","-22.293","-10.511","-7.499","143.620","65.082","21.367","21.473","911.5","300.0"
"2025/05/26","13:57:18",339,"-12.582","-23.841","-11.272","-9.646","143.620","65.082","21.368","21.473","937.5","300.0"
"2025/05/26","13:57:18",405,"-12.582","-23.381","-11.140","-9.011","143.533","65.169","21.367","21.472","937.5","300.0"
"2025/05/26","13:57:18",539,"-12.582","-22.807","-10.801","-7.733","143.533","65.169","21.367","21.472","937.5","300.0"
"2025/05/26","13:57:18",622,"-12.582","-22.441","-10.646","-7.438","143.468","65.169","21.367","21.472","954.7","300.0"
"2025/05/26","13:57:18",756,"-12.582","-24.343","-11.688","-9.632","143.468","65.191","21.367","21.471","954.7","300.0"
"2025/05/26","13:57:18",822,"-12.582","-23.497","-11.313","-9.007","143.468","65.191","21.368","21.473","961.7","300.0"
"2025/05/26","13:57:18",923,"-12.582","-21.665","-10.380","-7.732","143.424","65.234","21.367","21.472","961.7","300.0"
"2025/05/26","13:57:19",39,"-12.582","-22.294","-10.626","-8.569","143.424","65.234","21.367","21.472","961.7","300.0"
"2025/05/26","13:57:19",140,"-12.582","-23.842","-11.452","-8.762","143.381","65.234","21.367","21.472","967.9","300.0"
"2025/05/26","13:57:19",237,"-12.582","-23.030","-11.258","-8.807","143.381","65.256","21.368","21.471","967.9","300.0"
"2025/05/26","13:57:19",355,"-12.582","-22.375","-10.521","-8.817","143.381","65.256","21.367","21.472","970.5","300.0"
"2025/05/26","13:57:19",471,"-12.582","-23.871","-11.341","-8.820","143.381","65.256","21.367","21.472","968.4","300.0"
"2025/05/26","13:57:19",572,"-12.582","-23.855","-11.463","-8.820","143.359","65.256","21.368","21.472","968.4","300.0"
"2025/05/26","13:57:19",655,"-12.582","-22.449","-10.645","-8.820","143.359","65.234","21.368","21.472","968.4","300.0"
"2025/05/26","13:57:19",755,"-0.366","-5.180","-2.457","-2.035","143.359","65.234","21.368","21.472","450.8","300.0"
"2025/05/26","13:57:45",486,"0.000","-0.027","0.000","0.000","143.511","64.931","21.367","21.473","300.0","300.0"
"2025/05/26","13:57:45",572,"0.000","-0.123","0.000","0.000","143.511","64.931","21.367","21.473","300.0","300.0"
"2025/05/26","13:57:45",687,"0.000","3.243","1.615","-3.392","143.511","64.931","21.367","21.473","300.0","300.0"
"2025/05/26","13:57:45",786,"0.000","0.748","0.373","-0.783","143.511","64.931","21.368","21.473","300.0","300.0"
"2025/05/26","13:57:45",871,"-0.043","0.406","0.163","-0.181","143.511","64.931","21.367","21.473","300.0","300.0"
"2025/05/26","13:57:46",22,"-0.171","-1.076","-0.501","-0.042","143.511","64.931","21.368","21.472","300.0","300.0"
"2025/05/26","13:57:46",104,"-0.473","-10.648","-5.116","-0.010","143.511","64.931","21.367","21.473","300.0","300.0"
"2025/05/26","13:57:46",187,"-0.865","-106.223","-50.873","-0.002","143.511","64.931","21.367","21.473","300.0","300.0"
"2025/05/26","13:57:46",303,"-1.004","-255.884","-122.663","-99.508","143.511","64.931","21.367","21.473","300.0","300.0"
"2025/05/26","13:57:46",371,"-1.178","-262.609","-126.153","-111.163","143.511","64.931","21.367","21.473","300.0","300.0"
"2025/05/26","13:57:46",486,"-1.609","-211.811","-101.958","-91.238","143.511","64.931","21.368","21.473","300.0","300.0"
"2025/05/26","13:57:46",604,"-2.047","-115.603","-55.298","-48.193","143.511","64.931","21.366","21.473","300.0","300.0"
"2025/05/26","13:57:46",704,"-2.443","-61.617","-29.684","-25.822","143.511","64.931","21.367","21.473","300.0","300.0"
"2025/05/26","13:57:46",803,"-2.880","-53.365","-25.543","-20.659","143.511","64.909","21.368","21.473","300.0","300.0"
"2025/05/26","13:57:46",904,"-3.361","-44.100","-21.356","-18.337","143.511","64.909","21.367","21.472","300.0","300.0"
"2025/05/26","13:57:47",5,"-3.801","-42.312","-20.236","-17.801","143.511","64.909","21.367","21.473","300.0","300.0"
"2025/05/26","13:57:47",105,"-4.239","-41.666","-19.978","-16.546","143.511","64.909","21.367","21.473","300.0","300.0"
"2025/05/26","13:57:47",204,"-4.678","-44.321","-21.226","-18.518","143.511","64.909","21.367","21.473","300.0","300.0"
"2025/05/26","13:57:47",303,"-5.116","-39.442","-18.514","-15.581","143.490","64.909","21.367","21.473","300.0","300.0"
"2025/05/26","13:57:47",421,"-5.512","-44.977","-21.426","-18.296","143.490","64.909","21.367","21.473","300.0","300.0"
"2025/05/26","13:57:47",520,"-5.992","-35.503","-16.945","-14.399","143.490","64.909","21.367","21.472","300.0","300.0"
"2025/05/26","13:57:47",621,"-6.431","-51.780","-24.833","-21.415","143.490","64.909","21.367","21.473","300.0","300.0"
"2025/05/26","13:57:47",720,"-6.870","-33.802","-16.192","-12.857","143.490","64.909","21.367","21.473","300.0","300.0"
"2025/05/26","13:57:47",821,"-7.308","-36.197","-17.506","-14.275","143.490","64.909","21.367","21.473","300.0","300.0"
"2025/05/26","13:57:47",921,"-7.704","-55.212","-26.271","-21.386","143.490","64.909","21.368","21.473","300.0","300.0"
"2025/05/26","13:57:48",22,"-8.184","-29.568","-13.909","-10.589","143.490","64.909","21.367","21.473","300.0","300.0"
"2025/05/26","13:57:48",121,"-8.623","-35.803","-17.056","-14.882","143.490","64.909","21.368","21.472","300.0","300.0"
"2025/05/26","13:57:48",237,"-9.019","-56.757","-27.167","-23.788","143.490","64.909","21.367","21.472","300.0","300.0"
"2025/05/26","13:57:48",321,"-9.456","-39.624","-18.654","-15.667","143.468","64.909","21.367","21.472","300.0","300.0"
"2025/05/26","13:57:48",437,"-9.937","-30.295","-14.382","-12.662","143.468","64.909","21.367","21.472","300.0","300.0"
"2025/05/26","13:57:48",538,"-10.334","-42.515","-20.319","-18.753","143.468","64.909","21.367","21.472","300.0","300.0"
